Company,Title,Link,Company Link,Ceo Name
AEREN IP SERVICES PVT. LTD.,AEREN IP(A Division of Aeren IT Solutions (P) Ltd.),https://in.linkedin.com/company/aeren-ip-a-division-of-aeren-it-solutions-p-ltd-,http://www.aerenip.com/,Raman Aggarwal - CEO & FOUNDER - Aeren LPO
AEREN IT SOLUTIONS PVT. LTD.,AEREN OUTSOURCING,https://in.linkedin.com/company/aeren-it-solutions-private-limited,https://www.aerenoutsourcing.com/,Raman Aggarwal - CEO & FOUNDER - Aeren LPO
AEREON INDIA PRIVATE LIMITED.,Aereon,https://in.linkedin.com/company/aereon,https://aereon.com/,Aereon
AEROSPIKE INDIA PRIVATE LIMITED,Aerospike,https://in.linkedin.com/company/aerospike-inc-,https://aerospike.com/,Aerospike
AEXONIC TECHNOLOGIES PRIVATE LIMITED,Aexonic,https://in.linkedin.com/company/aexonic-technologies,https://www.aexonic.com/,Aexonic
AFFINITY ANSWERS PRIVATE LIMITED,Affinity Answers,https://www.linkedin.com/company/affinity-answers,https://www.affinityanswers.com/,Affinity Answers
AFFINITY GLOBAL ADVERTISING PVT. LTD.,AFFINITY GLOBAL ADVERTISING PRIVATE LIMITED,https://in.linkedin.com/company/affinity-global-advertising-private-limited,https://www.affinity.com/,Affinity Global Inc.
AFOUR TECHNOLOGIES PVT. LTD.,AFour Technologies,https://in.linkedin.com/company/afour-technologies,https://afourtech.com/,AFour Technologies
AGASTHA SOFTWARE PVT. LTD.,Agastha,https://www.linkedin.com/products/agastha-healthsoft-agastha/,http://agastha.com/,"Mohan Korrapati - Founder - Agastha, Inc."
AGATHSYA TECHNOLOGIES PRIVATE LIMITED,Agathsya Technologies Pvt Ltd,https://in.linkedin.com/company/agathsya-technologies-pvt-ltd,https://agathsya.com/,Agathsya Technologies Pvt Ltd
AGCO TRADING (INDIA) PRIVATE LIMITED,AGCO TRADING (INDIA) PRIVATE LIMITED,https://in.linkedin.com/company/agco-trading-india-private-limited,"https://economictimes.indiatimes.com/company/agco-trading-india-private-limited/U51909HR2012FTC046730#:~:text=Agco%20Trading%20(india)%20Private%20Limited%20registered%20address%20is%20408A%2C,Gurgaon%20Gurgaon%20HR%20122001%20IN.",Amit Talwar - AGCO Corporation
AGGRANDIZE VENTURE PRIVATE LIMITED,Aggrandize Venture,https://in.linkedin.com/company/aggrandizeventure,https://www.aggrandizeventure.com/,Aggrandize Venture
AGILE ICO PVT LTD,AGILE ICO PVT LTD,https://in.linkedin.com/company/aicopl,https://aicopl.com/,Kiran Kumar - AGILE ICO PVT Ltd
AGILE LINK TECHNOLOGIES,Agile Technologies,https://www.linkedin.com/company/agiletz,https://www.linkedin.com/company/agiletz,Martin Munzer - CEO - Agile Technologies
AGILENT TECHNOLOGIES INTERNATIONAL PVT.LTD.,Agilent Technologies,https://in.linkedin.com/company/agilent-technologies,https://www.agilent.com/en/contact-us/india,Agilent Technologies
AGILIANCE INDIA PVT LTD,AGILIANCE LIMITED,https://in.linkedin.com/company/agiliance-limited?trk=ppro_cprof,https://www.zaubacorp.com/company/AGILIANCE-INDIA-PRIVATE-LIMITED/U72200TG2008PTC057715,Surya Dhavala - Software Manager - Agiliance India Pvt Ltd
AGILITY E SERVICES PRIVATE LIMITED,Agility,https://www.linkedin.com/company/agility,https://www.agility.com/en/agility-e-services-receives-top-it-ites-honor/,Agility
AGILON HEALTH INDIA PRIVATE LIMITED,agilon health,https://www.linkedin.com/company/agilonhealth,https://www.agilonhealth.com/,Steven Sell - agilon health - LinkedIn
AGNEXT TECHNOLOGIES PRIVATE LTDAGNISYS TECHNOLOGY (P) LTD.,AGNEXT,https://in.linkedin.com/company/agnextworld,https://agnext.com/,Taranjeet Singh Bhamra - AGNEXT
AGNITIO SYSTEMS,Agnitio Systems,https://in.linkedin.com/company/agnitio-systems,http://www.agnitio-systems.com/,Agnitio Systems
AGNITY COMMUNICATIONS PVT. LTD.,AGNITY,https://in.linkedin.com/company/agnity-inc,https://www.zaubacorp.com/company/AGNITY-COMMUNICATIONS-PRIVATE-LIMITED/U72200DL2015PTC279758,"Sunit Tyagi - Director IT - AGNITY, Inc"
AGNITY INDIA TECHNOLOGIES PVT LTD,AGNITY,https://in.linkedin.com/company/agnity-inc,https://in.linkedin.com/company/agnity-inc,AGNITY
AGNITY TECHNOLOGIES PRIVATE LIMITED,AGNITY,https://in.linkedin.com/company/agnity-inc,https://in.linkedin.com/company/agnity-inc,AGNITY
AGREETA SOLUTIONS PRIVATE LIMITED,Agreeta Solutions Pvt Ltd,https://in.linkedin.com/company/agreeta-solutions-pvt-ltd,https://agreeta.in/,Agreeta Solutions Pvt Ltd
AGS HEALTH PVT. LTD,AGS Health,https://in.linkedin.com/company/ags-health,https://www.agshealth.com/,AGS Health
AGT ELECTRONICS LTD,AGT Electronics Ltd,https://in.linkedin.com/company/agt-electronics-ltd,https://www.agtindia.com/,Aruna Thangaraj - Managing Director - AGT Electronics Ltd
AGTECHPRO PRIVATE LIMITED,AGTECHPRO Private Limited - HR Manager,https://in.linkedin.com/in/agtechpro-private-limited-4a5782228,https://www.zaubacorp.com/company/AGTECHPRO-PRIVATE-LIMITED/U72900KA2019PTC124286,AGTECHPRO Private Limited - HR Manager
AHANA RAY TECHNOLOGIES INDIA PRIVATE LIMITED,Ahana Ray - Global Research Consultant - LMRE,https://in.linkedin.com/in/ahana-ray-060a7320a,https://www.zaubacorp.com/company/AHANA-RAY-TECHNOLOGIES-INDIA-PRIVATE-LIMITED/U72900KA2020FTC138919,"ahana ray - Kolkata, West Bengal, India | Professional Profile"
AI COGITO INDIA PRIVATE LIMITED,Cogito Corp,https://www.linkedin.com/company/cogito-corp-,"https://www.zaubacorp.com/company/AI-COGITO-INDIA-PRIVATE-LIMITED/U72200PN2021PTC198204#:~:text=82%2F1%2C%20PLOT%20NO.,PUNE%20Pune%20MH%20411045%20IN.",Cogito Corp
AI SQUARE GLOBAL SOLUTIONS LLP,AI Squared,https://www.linkedin.com/company/aisquaredinc,https://www.dnb.com/business-directory/company-profiles.ai_square_global_solutions_llp.5037e32567578e7814d5ef0c7d094555.html,"Ramesh Makwana - Mumbai, Maharashtra, India"
AIDASTECH INDIA PRIVATE LIMITED,AIDAS TECHNOLOGIES INC,https://in.linkedin.com/company/aidas-technologies-inc,https://www.aidastech.com/,AIDAS TECHNOLOGIES INC
AIE FIBER RESOURCE AND TRADING (INDIA) PRIVATE LIMITED,AIE FIBER RESOURCE AND TRADING (INDIA) PRIVATE ...,https://www.zaubacorp.com/company/AIE-FIBER-RESOURCE-AND-TRADING-INDIA-PRIVATE-LIMITED/U51909TG2018FTC123518,https://gstcouncil.gov.in/ms-aie-fiber-resource-and-trading-india-private-limited,AIE FIBER RESOURCE AND TRADING (INDIA) PRIVATE ...
AIGENEDGE PRIVATE LIMITED,Amit Roy,https://in.linkedin.com/in/amitroy74,https://www.zaubacorp.com/company/AIGENEDGE-PRIVATE-LIMITED/U72900UP2020PTC130960,Amit Roy
AIGILX HEALTH TECHNOLOGIES PVT LTD,Aigilx Health,https://in.linkedin.com/company/aigilx-health,https://aigilxhealth.com/,"A J Balasubramanian ""AJB"" - Aigilx Health - LinkedIn"
AIMBEYOND INFOTECH PRIVATE LIMITED,AimBeyond Infotech Private Limited,https://in.linkedin.com/company/aimbeyond-infotech-pvt-ltd-,https://www.aimbeyond.com/,AimBeyond Infotech Private Limited
AIML SQUARE PRIVATE LIMITED,AIML Analytics Solutions Pvt Ltd (OpenDataFabric),https://in.linkedin.com/company/aiml-solutions,https://www.zaubacorp.com/company/AIML-SQUARE-PRIVATE-LIMITED/U72200TN2019PTC130115,Megha Gupta Singh - Proposal Manager - AIML Square ...
AIMTRONICS SEMICONDUCTOR INDIA PVT LTD,NeoMagic Semiconductor India Private Ltd,https://in.linkedin.com/company/neomagic-semiconductor-india-private-ltd,https://www.zaubacorp.com/company/AIMTRONICS-SEMICONDUCTOR-INDIA-PRIVATE-LIMITED/U72200OR2014PTC018283,STANESH SEMICONDUCTOR PRIVATE LIMITED
AINS INDIA PVT LTD,AINS,https://au.linkedin.com/company/ains,"https://www.zaubacorp.com/company/AINS-INDIA-PRIVATE-LIMITED/U72200TG1997PTC085249#:~:text=188%2C%208%2D2%2D293,Hyderabad%20Hyderabad%20TG%20500096%20IN.",Nagarajan Arumugam - Founder - AINS
AINSURTECH PVT LTD,AInsurtech,https://in.linkedin.com/company/ainsurtech,https://ainsurtek.com/,Rajkumar TR - AInsurtech
AIOPSGROUP COMMERCE INDIA PRIVATE LIMITED,AIOPSGROUP a valantic company,https://in.linkedin.com/company/aiopsgroup,https://aiopsgroup.com/,AIOPSGROUP a valantic company
AIRAMATRIX PRIVATE LIMITED,AIRA Matrix Private Limited,https://in.linkedin.com/company/airamatrix,https://www.airamatrix.com/,AIRA Matrix Private Limited
AIRAVANA SYSTEMS PRIVATE LIMITED,"Airavana, Inc.",https://in.linkedin.com/company/airavana,https://in.linkedin.com/company/airavana,"Airavana, Inc."
AIRBUS GROUP INDIA PVT. LTD.,Airbus,https://in.linkedin.com/company/airbusgroup,https://www.airbus.com/en/our-worldwide-presence/airbus-in-india,Airbus
AIRCHECK INDIA PVT. LTD.,AirCheck India Pvt. Ltd.,https://www.linkedin.com/company/aircheck-india-pvt.-ltd.,https://aircheckindia.com/,AirCheck India Pvt. Ltd.
AIRDATA TECHNOLOGIES PRIVATE LIMITED,AirData UAV,https://www.linkedin.com/company/airdatauav,https://www.zaubacorp.com/company/AIRDATA-TECHNOLOGIES-PRIVATE-LIMITED/U72900KA2021FTC155676,Eran Steiner - Airdata UAV
AIREI INDIA PRIVATE LTD,AIREI Sdn. Bhd.,https://www.linkedin.com/company/airei-sdn-bhd,https://www.insiderbiz.in/company/AIREI-INDIA-PRIVATE-LIMITED,Remo Johnson - Back End Developer - Airei Sdn. Bhd.
AIRMEET NETWORKS PRIVATE LIMITED,Airmeet,https://www.linkedin.com/company/airmeetcom,https://www.airmeet.com/,Lalit Mangal - Airmeet
AIRO DIGITAL LABS INDIA PRIVATE LIMITED,AiRo Digital Labs,https://in.linkedin.com/company/airodigitallabs,https://www.airodigitallabs.com/,AiRo Digital Labs
AIRO GLOBAL SOFTWARE PRIVATE LIMITED,AIRO GLOBAL SOFTWARE INC,https://in.linkedin.com/company/airo-global-software,https://airoglobal.com/,Reji K Ravi - Director - AIRO GLOBAL SOFTWARE INC
AIROHA TECHNOLOGY INDIA PRIVATE LIMITED,Airoha Technology,https://www.linkedin.com/company/airoha-technology,https://www.airoha.com/,Kuldeep malik - Airoha India
AIRTEL INTERNATIONAL LLP,Airtel International LLP-Airtel Africa,https://in.linkedin.com/company/airtel-international-llp-airtel-africa,https://in.linkedin.com/company/airtel-international-llp-airtel-africa,Airtel International LLP-Airtel Africa
AITHENT TECHNOLOGIES PVT. LTD.,Aithent Inc.,https://www.linkedin.com/company/aithent,https://www.aithent.com/,Aithent Inc.
AJIRA AI SOFTWARE INDIA PVT LTD,Srinivas Reddy - Ajira Software India Private Limited.,https://in.linkedin.com/in/srinivas-reddy-8a71391a,https://ajiraai.com/,Srinivas Reddy - Ajira Software India Private Limited.
AJOSYS TECHNOLOGY SOLUTIONS PVT LTD,Ajosys Technology Solutions,https://in.linkedin.com/company/ajosys-technology-solutions,https://www.ajosys.com/,Manmohan Sharma - Director - Ajosys Technology Solutions
AJRITH TECH PRIVATE LIMITED,Ajrith Tech Pvt Ltd - Best Testing and Consulting Services,https://ajrith.com/,https://ajrith.com/,Ajrith Tech Pvt Ltd - Best Testing and Consulting Services
AJS SOFTWARE TECHNOLOGIES PRIVATE LIMITED,AJS SOFTWARE TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/company/ajs-software-technologies-private-limited,https://www.ajssoft.com/,Paras Kumar - Founder Developer - Pranoor Software
AJUBA COMMERCE PVT. LTD.,Shubham Tripathi - Ajuba Commerce Pvt Ltd ...,https://in.linkedin.com/in/shubham-tripathi-3a0799131,https://www.zaubacorp.com/company/AJUBA-COMMERCE-PRIVATE-LIMITED/U74999MH2014PTC253506,Gregory Rozario - Senior Director - MiraMed Ajuba
AK AEROTEK SOFTWARE CENTRE PVT. LTD.,AK Aerotek Software Centre Pvt Ltd,https://in.linkedin.com/company/ak-aerotek-software-centre-pvt-ltd,https://www.ak-aerotek.com/,Ajit Kothaneth - AK Aerotek Software Centre Pvt Ltd
AK SURYA POWER MAGIC PVT LTD,A K SURYA POWER MAGIC PRIVATE LIMITED,https://in.linkedin.com/company/a-k-surya-power-magic-private-limited,https://www.justdial.com/jdmart/Coimbatore/Ak-Surya-Power-Magic-Pvt-Ltd-Closed-Down-Peelamedu/0422PX422-X422-151212150332-H5B4_BZDET/catalogue,Isaac Joshua VICE PRESIDENT A.K.SURYA POWER MAGIC
AKEO SOFTWARE SOLUTIONS PRIVATE LIMITED,Akeo India,https://in.linkedin.com/company/akeoindia,https://in.linkedin.com/company/akeoindia,Ashish Gupta - Chief Innovation Officer - Akeo
AKIKO SHERMAN INFOTECH PRIVATE LIMITED,Akiko Sherman Infotech Pvt. Ltd.,https://in.linkedin.com/company/akiko-sherman-infotech-pvt--ltd-,https://www.shermanindia.com/,Suvidit Sharma - Akiko Sherman Infotech Pvt. Ltd.
AKOTS INDIA PVT. LTD.,AKOTS INDIA PRIVATE LIMITED,https://in.linkedin.com/company/akots-india-private-limited,https://www.zaubacorp.com/company/AKOTS-INDIA-PRIVATE-LIMITED/U72200TZ2005PTC012204,Dhinesh Shankar - AKOTS INDIA PRIVATE LIMITED
AKRIDATA INDIA PRIVATE LIMITED,Akridata,https://in.linkedin.com/company/akridata,https://akridata.ai/,Kumar G. - CEO and Co-founder - Akridata | LinkedIn
AKSA LEGACIES PRIVATE LIMITED,Er.Liyakat Ahmad Khan - Aksa Legacies private Limited,https://in.linkedin.com/in/liyakat-ahmad-khan,https://aksasoft.com/,Er.Liyakat Ahmad Khan - Aksa Legacies private Limited
AKSHAY RAJENDRA SHANBHAG,"AKSHAY RAJENDRA SHANBHAG - Karnataka, India",https://in.linkedin.com/in/akshay-rajendra-shanbhag-342181199,https://in.linkedin.com/in/akshayrshanbhag,Akshay Rajendra Shanbhag - Sole Proprietor
AKSHAY VANIJYA & FINANCE LTD,Anjan Das - Manager - Akshay Vanijya & Finance Pvt.Ltd,https://in.linkedin.com/in/anjan-das-8a3b1737,"https://www.indiafilings.com/search/akshay-vanijya-finance-private-limited-cin-U74899DL1994PTC058487#:~:text=Contact%20Details%20%26%20Insights&text=The%20companies%20registered%20address%20is,New%20Delhi%20DL%20110014%20IN.",Anjan Das - Manager - Akshay Vanijya & Finance Pvt.Ltd
ALAMY IMAGES INDIA (P) LTD,ALAMY IMAGES INDIA PRIVATE LIMITED,https://in.linkedin.com/company/alamy-images-india-private-limited,https://www.alamy.com/contactus/india.aspx,Alamy
ALAN SOLUTIONSALATION INDIA PRIVATE LIMITED,Alan Solutions,https://in.linkedin.com/company/alan-solutions,https://www.alanindia.net/,Alan D'Souza - ReachInbox
ALCAX SOLUTIONS,Alcax Solutions Ltd.,https://in.linkedin.com/company/alcax,https://www.alcax.com/,Vince Arora - Business Director - Alcax Solutions Ltd.
ALCODEX TECHNOLOGIES PVT. LTD.,Alcodex Technologies Pvt Ltd,https://in.linkedin.com/company/alcodex-technologies-pvt-ltd,https://alcodex.com/,Arjun Varma - Alcodex Technologies Pvt Ltd
ALE INDIA PVT LTD.,Ale India,https://www.linkedin.com/company/ale-india,"https://www.tofler.in/ale-india-private-limited/company/U64100KA2014PTC096578#:~:text=The%20registered%20office%20of%20Ale,%2C%20BANGALORE%2C%20Bangalore%2C%20Karnataka.",Ale India
ALEKHA IT PRIVATE LIMITED,Alekha Sethi - Lead Geospatial Analyst - AiDash,https://in.linkedin.com/in/alekha-sethi-4b98b319,https://www.zaubacorp.com/company/ALEKHA-IT-PRIVATE-LIMITED/U72900UP2019PTC120470,Alekha Chitnis - Chief People's Officer - Vashi Integrated ...
ALEPT CONSULTING PRIVATE LIMITED,ALEPT CONSULTING PRIVATE LIMITED,https://in.linkedin.com/company/alept-consulting-private-limited,https://www.alept.com/,Amit Wadhwa - Director - Alept Consulting
ALERTOPS INDIA PRIVATE LIMITED,AlertOps,https://in.linkedin.com/company/alertops,https://alertops.com/,AlertOps
ALETHEA COMMUNICATIONS TECHNOLOGIES PVT LTD,Alethea Communications Technologies PVT LTD,https://in.linkedin.com/company/alethea-communications-technologies-pvt-ltd,https://aletheatech.com/,Chimbu Aravind - Co-Founder & CEO - LinkedIn
ALFA KPO PVT. LTD.,ALFA KPO PRIVATE LIMITED,https://in.linkedin.com/company/alfa-kpo-private-limited,https://alfakpo.com/,ALFA KPO PRIVATE LIMITED
ALFANAR ENGINEERING SERVICES INDIA PVT LTD,Alfanar Engineering Services India Pvt. Ltd.,https://www.linkedin.com/company/alfanar-engineering-services-india-pvt.-ltd.,https://www.zaubacorp.com/company/Alfanar-Engineering-Services-India-Private-Limited/U72200TN2006PTC060045,Alfanar Engineering Services India Pvt. Ltd.
ALGONICS SYSTEMS PRIVATE LIMITED,Algonics Systems Pvt. Ltd,https://in.linkedin.com/company/algonics-systems-pvt-ltd,https://algonics.com/,Somnath Sircar - Algonics Systems Pvt. Ltd.
ALGORHYTHM TECH PVT LTD,Algorhythm Tech,https://in.linkedin.com/company/algorhythm-tech,https://algorhythmtech.com/,Ajit Singh - Algorhythm
